Time,Unsubtracted Heat Flow,Baseline Heat Flow,Program Temperature,Sample Temperature,Approx. Gas Flow,Heat Flow Calibration,Uncorrected Heat Flow, 
0.072917,-3.431147,-12.508951,37.004000,35.350000,0.000000,1.056615,-3.431147, 
0.073333,-3.401773,-12.479155,37.045000,35.391000,0.000000,1.056615,-3.401773, 
0.073750,-3.369018,-12.447350,37.083000,35.433000,0.000000,1.056615,-3.369018, 
0.074167,-3.333621,-12.413750,37.125000,35.475000,0.000000,1.056615,-3.333621, 
0.074583,-3.295160,-12.379516,37.166000,35.516000,0.000000,1.056615,-3.295160, 
0.075000,-3.254058,-12.343168,37.204000,35.554000,0.000000,1.056615,-3.254058, 
0.075417,-3.210103,-12.305553,37.245000,35.591000,0.000000,1.056615,-3.210103, 
0.075833,-3.163189,-12.266458,37.283000,35.633000,0.000000,1.056615,-3.163189, 
0.076250,-3.114162,-12.226095,37.325000,35.675000,0.000000,1.056615,-3.114162, 
0.076667,-3.062388,-12.184465,37.362000,35.716000,0.000000,1.056615,-3.062388, 
0.077083,-3.008289,-12.142200,37.404000,35.754000,0.000000,1.056615,-3.008289, 
0.077500,-2.951232,-12.097928,37.445000,35.800000,0.000000,1.056615,-2.951232, 
0.077917,-2.892273,-12.053339,37.483000,35.837000,0.000000,1.056615,-2.892273, 
0.078333,-2.830884,-12.007270,37.525000,35.875000,0.000000,1.056615,-2.830884, 
0.078750,-2.767170,-11.959828,37.562000,35.912000,0.000000,1.056615,-2.767170, 
0.079167,-2.701554,-11.912281,37.604000,35.950000,0.000000,1.056615,-2.701554, 
0.079583,-2.633297,-11.863465,37.645000,35.991000,0.000000,1.056615,-2.633297, 
0.080000,-2.563454,-11.813910,37.683000,36.033000,0.000000,1.056615,-2.563454, 
0.080417,-2.491182,-11.763298,37.725000,36.075000,0.000000,1.056615,-2.491182, 
0.080833,-2.417641,-11.712158,37.762000,36.116000,0.000000,1.056615,-2.417641, 
0.081250,-2.341776,-11.660278,37.804000,36.154000,0.000000,1.056615,-2.341776, 
0.081667,-2.264432,-11.607870,37.841000,36.195000,0.000000,1.056615,-2.264432, 
0.082083,-2.184658,-11.554933,37.883000,36.237000,0.000000,1.056615,-2.184658, 
0.082500,-2.103404,-11.501152,37.925000,36.275000,0.000000,1.056615,-2.103404, 
0.082917,-2.020988,-11.447158,37.962000,36.312000,0.000000,1.056615,-2.020988, 
0.083333,-1.936459,-11.392531,38.004000,36.354000,0.000000,1.056615,-1.936459, 
0.083750,-1.850767,-11.337482,38.041000,36.391000,0.000000,1.056615,-1.850767, 
0.084167,-1.763385,-11.282115,38.083000,36.437000,0.000000,1.056615,-1.763385, 
0.084583,-1.674524,-11.226220,38.120000,36.475000,0.000000,1.056615,-1.674524, 
0.085000,-1.584289,-11.170114,38.162000,36.512000,0.000000,1.056615,-1.584289, 
0.085417,-1.492575,-11.113796,38.204000,36.554000,0.000000,1.056615,-1.492575, 
0.085833,-1.399910,-11.057056,38.241000,36.595000,0.000000,1.056615,-1.399910, 
0.086250,-1.305659,-11.000316,38.283000,36.633000,0.000000,1.056615,-1.305659, 
0.086667,-1.210775,-10.943364,38.320000,36.675000,0.000000,1.056615,-1.210775, 
0.087083,-1.114201,-10.886307,38.362000,36.716000,0.000000,1.056615,-1.114201, 
0.087500,-1.016464,-10.828933,38.404000,36.758000,0.000000,1.056615,-1.016464, 
0.087917,-0.917776,-10.771347,38.441000,36.795000,0.000000,1.056615,-0.917776, 
0.088333,-0.818349,-10.713973,38.483000,36.833000,0.000000,1.056615,-0.818349, 
0.088750,-0.718076,-10.656176,38.520000,36.875000,0.000000,1.056615,-0.718076, 
0.089167,-0.617063,-10.599013,38.562000,36.912000,0.000000,1.056615,-0.617063, 
0.089583,-0.514255,-10.541639,38.600000,36.954000,0.000000,1.056615,-0.514255, 
0.090000,-0.411235,-10.484054,38.641000,36.995000,0.000000,1.056615,-0.411235, 
0.090417,-0.307158,-10.426891,38.683000,37.037000,0.000000,1.056615,-0.307158, 
0.090833,-0.202870,-10.369517,38.720000,37.079000,0.000000,1.056615,-0.202870, 
0.091250,-0.097209,-10.312142,38.762000,37.120000,0.000000,1.056615,-0.097209, 
0.091667,0.008242,-10.255402,38.800000,37.158000,0.000000,1.056615,0.008242, 
0.092083,0.114960,-10.198239,38.841000,37.195000,0.000000,1.056615,0.114960, 
0.092500,0.221889,-10.141499,38.883000,37.237000,0.000000,1.056615,0.221889, 
0.092917,0.329664,-10.084970,38.920000,37.279000,0.000000,1.056615,0.329664, 
0.093333,0.438073,-10.028652,38.962000,37.320000,0.000000,1.056615,0.438073, 
0.093750,0.546481,-9.972546,39.000000,37.366000,0.000000,1.056615,0.546481, 
0.094167,0.656158,-9.916863,39.041000,37.404000,0.000000,1.056615,0.656158, 
0.094583,0.765201,-9.861179,39.079000,37.441000,0.000000,1.056615,0.765201, 
0.095000,0.875511,-9.806129,39.120000,37.479000,0.000000,1.056615,0.875511, 
0.095417,0.985716,-9.750974,39.162000,37.520000,0.000000,1.056615,0.985716, 
0.095833,1.096450,-9.696241,39.200000,37.562000,0.000000,1.056615,1.096450, 
0.096250,1.207289,-9.641826,39.241000,37.600000,0.000000,1.056615,1.207289, 
0.096667,1.318550,-9.587727,39.279000,37.637000,0.000000,1.056615,1.318550, 
0.097083,1.429917,-9.534368,39.320000,37.679000,0.000000,1.056615,1.429917, 
0.097500,1.541179,-9.480797,39.362000,37.720000,0.000000,1.056615,1.541179, 
0.097917,1.653392,-9.427650,39.400000,37.758000,0.000000,1.056615,1.653392, 
0.098333,1.765076,-9.375136,39.441000,37.800000,0.000000,1.056615,1.765076, 
0.098750,1.877183,-9.323045,39.479000,37.837000,0.000000,1.056615,1.877183, 
0.099167,1.989290,-9.271588,39.520000,37.879000,0.000000,1.056615,1.989290, 
0.099583,2.101396,-9.219602,39.558000,37.920000,0.000000,1.056615,2.101396, 
0.100000,2.213820,-9.169307,39.600000,37.958000,0.000000,1.056615,2.213820, 
0.100417,2.326139,-9.118167,39.641000,37.995000,0.000000,1.056615,2.326139, 
0.100833,2.438351,-9.068295,39.679000,38.037000,0.000000,1.056615,2.438351, 
0.101250,2.550986,-9.018423,39.720000,38.079000,0.000000,1.056615,2.550986, 
0.101667,2.662882,-8.969501,39.758000,38.116000,0.000000,1.056615,2.662882, 
0.102083,2.775623,-8.921003,39.800000,38.154000,0.000000,1.056615,2.775623, 
0.102500,2.887835,-8.872715,39.841000,38.195000,0.000000,1.056615,2.887835, 
0.102917,2.999836,-8.824745,39.879000,38.233000,0.000000,1.056615,2.999836, 
0.103333,3.111943,-8.776986,39.920000,38.275000,0.000000,1.056615,3.111943, 
0.103750,3.223522,-8.730495,39.958000,38.320000,0.000000,1.056615,3.223522, 
0.104167,3.335417,-8.684004,40.000000,38.362000,0.000000,1.056615,3.335417, 
0.104583,3.446996,-8.637830,40.037000,38.400000,0.000000,1.056615,3.446996, 
0.105000,3.558258,-8.592712,40.079000,38.441000,0.000000,1.056615,3.558258, 
0.105417,3.669836,-8.547384,40.120000,38.483000,0.000000,1.056615,3.669836, 
0.105833,3.780675,-8.502794,40.158000,38.516000,0.000000,1.056615,3.780675, 
0.106250,3.891831,-8.458839,40.200000,38.558000,0.000000,1.056615,3.891831, 
0.106667,4.002459,-8.415307,40.237000,38.600000,0.000000,1.056615,4.002459, 
0.107083,4.112664,-8.371880,40.279000,38.641000,0.000000,1.056615,4.112664, 
0.107500,4.223291,-8.329615,40.316000,38.683000,0.000000,1.056615,4.223291, 
0.107917,4.332862,-8.287351,40.358000,38.725000,0.000000,1.056615,4.332862, 
0.108333,4.442539,-8.245509,40.400000,38.762000,0.000000,1.056615,4.442539, 
0.108750,4.551687,-8.204618,40.437000,38.800000,0.000000,1.056615,4.551687, 
0.109167,4.660941,-8.163832,40.479000,38.841000,0.000000,1.056615,4.660941, 
0.109583,4.769667,-8.123786,40.516000,38.883000,0.000000,1.056615,4.769667, 
0.110000,4.878393,-8.084058,40.558000,38.925000,0.000000,1.056615,4.878393, 
0.110417,4.986379,-8.044857,40.600000,38.962000,0.000000,1.056615,4.986379, 
0.110833,5.094259,-8.005974,40.637000,39.004000,0.000000,1.056615,5.094259, 
0.111250,5.201717,-7.967830,40.679000,39.045000,0.000000,1.056615,5.201717, 
0.111667,5.308858,-7.930215,40.716000,39.083000,0.000000,1.056615,5.308858, 
0.112083,5.415893,-7.893022,40.758000,39.125000,0.000000,1.056615,5.415893, 
0.112500,5.522188,-7.856040,40.795000,39.162000,0.000000,1.056615,5.522188, 
0.112917,5.628378,-7.819587,40.837000,39.204000,0.000000,1.056615,5.628378, 
0.113333,5.734357,-7.783662,40.879000,39.241000,0.000000,1.056615,5.734357, 
0.113750,5.839490,-7.748265,40.916000,39.283000,0.000000,1.056615,5.839490, 
0.114167,5.944834,-7.713608,40.958000,39.320000,0.000000,1.056615,5.944834, 
0.114583,6.049017,-7.679057,40.995000,39.362000,0.000000,1.056615,6.049017, 
0.115000,6.153622,-7.644717,41.037000,39.408000,0.000000,1.056615,6.153622, 
0.115417,6.257276,-7.611539,41.079000,39.445000,0.000000,1.056615,6.257276, 
0.115833,6.360613,-7.578045,41.116000,39.483000,0.000000,1.056615,6.360613, 
